date,wts,t_rel,side,px,shares,fair,pnl_share
2025-12-28,1766952000,-4,down,0.39,13.0,0.5817140772191666,0.593347
2025-12-29,1767038400,-6,down,0.85,11.764706,1.0,0.14107499
2025-12-29,1767045600,-6,up,0.36,22.1,0.9963871672635524,0.623872
2025-12-29,1767049200,-6,down,0.5,20.0,1.0,0.4825
2025-12-30,1767132000,-6,up,0.51,6.0,1.0,0.472507
2025-12-31,1767200400,-6,down,0.48000002,20.833332,1.0,0.50252795
2025-12-31,1767204000,-6,up,0.51,19.607843,1.0,0.472507
2025-12-31,1767211200,-6,up,0.51,19.607843,1.0,0.472507
2025-12-31,1767222000,-6,down,0.82,12.195122,1.0,0.169668
2026-01-01,1767290400,-6,down,0.53999996,18.51852,1.0,0.44261205
2026-01-01,1767308400,-6,up,0.51,19.607843,1.0,0.472507
2026-01-02,1767373200,-6,down,0.39,25.641027,0.995370018650754,0.593347
2026-01-02,1767380400,-6,up,0.94,10.638298,1.0,0.056052003
2026-01-02,1767387600,-6,up,0.94,10.638298,1.0,0.056052003
2026-01-02,1767391200,-6,up,0.5,20.0,1.0,0.4825
2026-01-03,1767474000,-6,up,0.51,19.607843,1.0,0.472507
2026-01-03,1767481200,-6,up,0.5,20.0,1.0,0.4825
2026-01-04,1767553200,-6,down,0.49,20.408163,1.0,0.49250698
2026-01-04,1767564000,-6,down,0.52,19.23077,0.9999999999810876,0.46252802
2026-01-04,1767567600,-6,up,0.83,12.048193,1.0,0.16012302
2026-01-05,1767628800,-6,down,0.89,11.235955,1.0,0.103147015
2026-01-05,1767632400,-6,up,0.8,12.5,1.0,0.18879999
2026-01-05,1767636000,-6,up,0.89,11.235955,1.0,0.103147015
2026-01-05,1767643200,-6,down,0.74,13.513514,1.0,0.246532
2026-01-06,1767718800,-6,down,0.73,13.698629,1.0,0.256203
2026-01-06,1767729600,-6,up,0.51,19.607843,1.0,0.472507
2026-01-06,1767736800,-6,up,0.5,20.0,0.9999999999998579,0.4825
2026-01-06,1767740400,-6,up,0.51,19.607843,1.0,0.472507
2026-01-07,1767801600,-6,down,0.42000002,23.809523,1.0,0.562948
2026-01-07,1767805200,-6,down,0.47000003,11.0,0.6800035739592091,0.512563
2026-01-07,1767812400,-6,up,0.53,18.867926,1.0,0.45256302
2026-01-07,1767816000,-6,down,0.65999997,15.151516,1.0,0.32429203
2026-01-07,1767819600,-6,up,0.88,11.363636,1.0,0.112608
2026-01-08,1767888000,-6,up,0.32,31.25,1.0,0.664768
2026-01-08,1767902400,-6,down,0.64,15.625,0.8929793595398499,0.343872
2026-01-08,1767906000,-6,up,0.51,19.607843,1.0,0.472507
2026-01-08,1767913200,-6,down,0.5,20.0,1.0,0.4825
2026-01-09,1767956400,-6,down,0.90999997,10.989012,0.999999749340303,0.084267035
2026-01-09,1767960000,-4,down,0.89,8.87,0.999999053206196,0.103147015
2026-01-09,1767978000,-6,down,0.8,12.5,1.0,0.18879999
2026-01-09,1767985200,-6,down,0.51,19.607843,1.0,0.472507
2026-01-09,1767988800,-6,down,0.42000002,23.809523,0.9950625402750852,0.562948
2026-01-09,1767992400,-6,up,0.83,12.048193,1.0,0.16012302
2026-01-09,1767999600,-6,up,0.77,12.987013,0.9985927833639279,0.21760301
2026-01-10,1768060800,-6,up,0.51,19.607843,1.0,0.472507
2026-01-10,1768071600,-6,up,0.51,19.607843,1.0,0.472507
2026-01-10,1768075200,-6,down,0.52,19.23077,1.0,0.46252802
2026-01-11,1768129200,-3,up,0.88,11.363636,0.9680852500961435,0.112608
2026-01-11,1768150800,-6,down,0.51,19.607843,1.0,0.472507
2026-01-11,1768154400,-6,down,0.51,19.607843,1.0,0.472507
2026-01-11,1768161600,-6,up,0.51,19.607843,0.8536447801001221,0.472507
2026-01-11,1768168800,-6,down,0.90999997,10.989012,1.0,0.084267035
2026-01-11,1768172400,-6,up,0.54,18.518518,1.0,0.442612
2026-01-12,1768186800,-6,down,0.90999997,10.989012,1.0,0.084267035
2026-01-12,1768194000,-6,down,0.58000004,3.27,1.0,0.40294796
2026-01-12,1768197600,-6,down,0.5,20.0,1.0,0.4825
2026-01-12,1768208400,-6,down,0.82,5.76,1.0,0.169668
2026-01-12,1768212000,-6,down,0.65,13.6,1.0,0.33407503
2026-01-12,1768219200,-6,up,0.52,19.23077,1.0,0.46252802
2026-01-12,1768222800,-6,down,0.49,20.408163,1.0,0.49250698
2026-01-12,1768226400,-6,up,0.52,9.56,1.0,0.46252802
2026-01-12,1768230000,-6,up,0.51,19.607843,1.0,0.472507
2026-01-12,1768237200,-6,down,0.51,19.607843,1.0,0.472507
2026-01-12,1768240800,-6,up,0.51,15.2,1.0,0.472507
2026-01-12,1768255200,-6,up,0.51,19.607843,1.0,0.472507
2026-01-13,1768320000,-6,down,0.79,7.42,0.9999608436795346,0.19838698
2026-01-13,1768323600,-6,down,0.59000003,16.949152,1.0,0.39306697
2026-01-13,1768327200,-6,up,0.5,20.0,1.0,0.4825
2026-01-13,1768334400,-6,up,0.52,19.23077,1.0,0.46252802
2026-01-14,1768370400,-6,up,0.51,19.607843,0.9998407394961931,0.472507
2026-01-14,1768377600,-6,down,0.5,20.0,1.0,0.4825
2026-01-14,1768384800,-6,up,0.54,18.518518,1.0,0.442612
2026-01-14,1768388400,-6,down,0.5,20.0,1.0,0.4825
2026-01-15,1768464000,-6,up,0.74,12.0,0.999876375808515,0.246532
2026-01-15,1768482000,-6,down,0.86,11.627907,1.0,0.131572
2026-01-15,1768489200,-6,up,0.49,5.0,1.0,0.49250698
2026-01-15,1768496400,-6,down,0.83,12.048193,0.9999999980486741,0.16012302
2026-01-15,1768503600,-6,down,0.49,20.408163,1.0,0.49250698
2026-01-15,1768507200,-6,down,0.51,19.607843,1.0,0.472507
2026-01-15,1768510800,-6,up,0.5,20.0,1.0,0.4825
2026-01-15,1768514400,-4,up,0.39,25.641027,0.4781891543381164,-0.406653
2026-01-16,1768521600,-5,up,0.93,10.752688,0.9985961962729409,0.065442994
2026-01-16,1768525200,-6,up,0.52,19.23077,1.0,0.46252802
2026-01-16,1768528800,-6,down,0.76,13.157895,1.0,0.22723201
2026-01-16,1768532400,-6,down,0.85,11.764706,1.0,0.14107499
2026-01-16,1768536000,-6,down,0.82,12.195122,0.9999999999999596,0.169668
2026-01-16,1768539600,-6,up,0.51,19.607843,1.0,0.472507
2026-01-16,1768543200,-6,up,0.51,19.607843,1.0,0.472507
2026-01-16,1768550400,-6,up,0.51,19.607843,0.9952952449667548,0.472507
2026-01-16,1768554000,-6,down,0.5,20.0,1.0,0.4825
2026-01-16,1768561200,-6,up,0.78,12.820514,1.0,0.20798802
2026-01-16,1768597200,-6,down,0.78,12.820514,0.9975618221948482,0.20798802
2026-01-16,1768600800,-6,down,0.81,12.345679,0.9243796927387911,0.179227
2026-01-17,1768608000,-6,down,0.75,7.16,1.0,0.236875
2026-01-17,1768611600,-6,down,0.38,26.31579,1.0,0.603508
2026-01-17,1768618800,-6,up,0.56,7.95,0.6856298151592604,0.422752
2026-01-18,1768716000,-6,down,0.69,14.492754,0.9999999998889653,0.295027
2026-01-18,1768723200,-6,up,0.89,11.235955,1.0,0.103147015
2026-01-18,1768726800,-6,up,0.83,12.048193,1.0,0.16012302
2026-01-18,1768737600,-6,down,0.48000002,20.833332,0.9999999962550484,0.50252795
2026-01-18,1768741200,-6,up,0.81,12.345679,1.0,0.179227
2026-01-18,1768744800,-6,down,0.86,11.627907,1.0,0.131572
2026-01-18,1768773600,-6,up,0.51,19.607843,1.0,0.472507
2026-01-18,1768777200,-6,down,0.51,19.607843,1.0,0.472507
2026-01-19,1768788000,-6,down,0.78,12.820514,0.9180569041984006,0.20798802
2026-01-19,1768795200,-6,down,0.9,11.111112,0.9981789690013513,0.09370002
2026-01-20,1768870800,-6,down,0.72,5.0,0.8022933453379307,0.26588798
2026-01-21,1768982400,-6,down,0.89,11.235955,0.9993321905171355,0.103147015
2026-01-27,1769472000,-6,up,0.9,11.111112,0.999999949740867,0.09370002
2026-01-27,1769497200,-2,down,0.93,10.752688,0.999997639942681,0.065442994
2026-01-27,1769515200,-6,down,0.82,12.195122,0.9758057673269661,0.169668
2026-01-27,1769518800,-5,down,0.52,9.0,0.8220273031050418,0.46252802
2026-01-27,1769554800,-6,up,0.5,20.0,0.940783832249977,0.4825
2026-01-29,1769670000,-4,up,0.93,10.752688,0.9849373932441662,0.065442994
2026-01-30,1769749200,-5,down,0.90999997,10.0,0.9933231621321073,0.084267035
2026-01-31,1769864400,-6,up,0.64,5.0,0.7957692232365197,0.343872
2026-02-07,1770469200,-4,up,0.9,11.111112,0.9943639622828688,0.09370002
2026-02-09,1770613200,-5,up,0.5,20.0,0.9920581319059001,0.4825
2026-02-10,1770714000,-6,up,0.68,1.66,0.9463439899306502,0.304768
2026-02-11,1770840000,-5,up,0.84,11.904762,0.9841453960191333,-0.849408
2026-02-17,1771286400,-6,down,0.72,13.888888,0.999922544429135,0.26588798
2026-02-19,1771495200,-6,up,0.84,11.904762,0.9755194150300156,0.15059203
2026-02-19,1771527600,-5,up,0.92,10.869565,0.9895152548382536,0.07484798
2026-02-24,1771912800,-5,down,0.94,10.638298,0.9992891064149264,0.056052003
2026-02-26,1772071200,-6,up,0.81,4.48,0.8929786756484761,0.179227
2026-03-01,1772377200,-3,down,0.9,11.111112,0.9616576412544933,0.09370002
2026-03-02,1772424000,-6,up,0.88,9.94,0.988880129593163,0.112608
2026-03-02,1772488800,-6,up,0.53,10.0,0.6448992896971804,0.45256302
2026-03-04,1772665200,-6,up,0.51,19.607843,0.7335287101032597,-0.527493
2026-03-05,1772712000,-6,down,0.93,10.752688,0.9874574242781586,0.065442994
2026-03-06,1772791200,-6,down,0.92,10.869565,0.9999922771676393,0.07484798
2026-03-06,1772812800,-6,down,0.94,10.638298,0.9999211186489813,0.056052003
2026-03-06,1772827200,-6,up,0.42,10.0,0.8069261010854225,-0.43705198
2026-03-07,1772884800,-6,down,0.93,10.752688,0.9999982605087441,0.065442994
2026-03-08,1772946000,-5,up,0.55,18.181818,1.0,0.432675
2026-03-08,1772949600,-2,up,0.87,11.494253,0.9924697807887046,0.12208299
2026-03-09,1773090000,-6,down,0.39999998,21.48,0.798743715586546,0.58320004
2026-03-10,1773122400,-5,down,0.5,20.0,0.78481024854682,0.4825
2026-03-12,1773295200,-6,down,0.47000003,21.276594,0.813505523925043,-0.48743704
2026-03-13,1773374400,-3,down,0.90999997,10.989012,0.9857736242385422,0.084267035
2026-03-14,1773460800,-6,down,0.89,11.235955,1.0,0.103147015
2026-03-14,1773475200,-6,down,0.57,6.73,0.9999999211923765,0.41284302
2026-03-14,1773489600,-6,down,0.89,11.235955,0.9973221977961743,-0.89685297
2026-03-15,1773579600,-3,up,0.4,25.0,0.7483900418728494,-0.41680002
2026-03-15,1773583200,-6,up,0.84,11.904762,0.9953624571143675,0.15059203
2026-03-16,1773684000,-6,down,0.94,10.638298,0.9999655877499355,0.056052003
2026-03-17,1773777600,-5,up,0.39,16.34,0.5482194652992141,-0.406653
2026-03-18,1773860400,-5,down,0.93,9.83,0.9999992894471179,0.065442994
2026-03-19,1773896400,-5,down,0.48000002,20.833332,0.9999894034934608,-0.49747202
2026-03-21,1774105200,-6,up,0.45,22.222223,0.6048613001052154,0.532675
2026-03-21,1774119600,-6,up,0.65,15.384616,1.0,0.33407503
2026-03-22,1774152000,-6,down,0.33999997,7.45,0.9999881363816202,-0.35570797
2026-03-22,1774209600,-6,down,0.93,10.752688,0.9999898553621489,0.065442994
2026-03-23,1774288800,-3,up,0.49,20.408163,0.7003864657738952,-0.507493
2026-03-24,1774389600,-5,down,0.94,10.638298,0.9977068368440271,0.056052003
2026-03-25,1774440000,-6,up,0.92,10.869565,0.9977429391347712,0.07484798
2026-03-26,1774494000,-6,up,0.46,5.0,0.8988273294191873,0.522612
2026-03-26,1774508400,-6,down,0.88,10.0,0.987267686769715,0.112608
2026-03-26,1774548000,-4,up,0.8,5.0,0.9673601141585344,0.18879999
2026-03-28,1774724400,-6,down,0.37,27.027027,0.8332404130221969,-0.386317
2026-03-28,1774728000,-6,up,0.36,0.22,1.0,-0.37612802
2026-03-30,1774911600,-6,up,0.73,13.698629,0.9871238756230242,0.256203
2026-03-31,1774983600,-4,up,0.82,12.195122,0.9118224604866855,-0.830332
2026-03-31,1774990800,-5,up,0.94,10.638298,0.9955276392835606,0.056052003
2026-04-02,1775156400,-6,down,0.38,26.31579,0.6091873087344802,0.603508
2026-04-02,1775163600,-5,down,0.6,15.0,0.6846292142091108,0.3832
2026-04-04,1775286000,-6,up,0.59,16.949154,0.6878121709776127,0.39306703
2026-04-04,1775311200,-6,up,0.73,13.698629,0.9999961217852358,0.256203
2026-04-05,1775383200,-6,up,0.88,11.363636,0.9999995737928622,0.112608
2026-04-08,1775628000,-6,down,0.93,10.752688,0.9895325220947105,-0.934557
2026-04-11,1775872800,-6,down,0.88,9.0,0.9994008386501211,-0.887392
2026-04-13,1776056400,-6,down,0.7,14.285714,0.9999822016642872,0.28530002
2026-04-14,1776150000,-6,down,0.5,20.0,0.8365593939454015,-0.5175
2026-04-15,1776214800,-6,up,0.9,11.111112,1.0,0.09370002
2026-04-16,1776297600,-6,down,0.5,20.0,0.9999294601429776,-0.5175
2026-04-16,1776312000,-6,up,0.86,11.627907,1.0,0.131572
2026-04-16,1776319200,-6,down,0.9,11.111112,1.0,-0.90629995
2026-04-16,1776351600,-6,up,0.91,10.989011,1.0,0.084266976
2026-04-17,1776416400,-3,down,0.48000002,5.0,0.5496692195018507,0.50252795
2026-04-18,1776549600,-6,down,0.94,10.638298,0.9967636874144818,0.056052003
2026-04-20,1776657600,-6,down,0.65,15.384616,1.0,0.33407503
2026-04-20,1776690000,-5,down,0.8,7.0,0.9019106257530043,0.18879999
2026-04-20,1776697200,-6,up,0.53,18.867926,1.0,0.45256302
2026-04-22,1776816000,-6,down,0.5,5.0,0.9999999999793348,-0.5175
2026-04-22,1776830400,-6,down,0.59000003,6.2,1.0,-0.60693306
2026-04-22,1776841200,-6,down,0.77,5.0,0.9674655163058796,-0.782397
2026-04-22,1776844800,-3,up,0.31,25.0,0.3926163646696288,-0.32497302
2026-04-22,1776848400,-6,up,0.4,25.0,0.9983279499360997,-0.41680002
2026-04-23,1776970800,-6,up,0.81,12.345679,0.9998214014252336,0.179227
2026-04-23,1776985200,-6,up,0.41,24.390244,1.0,0.573067
2026-04-24,1776992400,-6,up,0.89,11.235955,0.999999686204494,0.103147015
2026-04-24,1777032000,-6,up,0.63,15.873016,0.999989641212957,0.353683
2026-04-24,1777042800,-5,up,0.41,24.390244,0.5428711963781157,0.573067
2026-04-25,1777096800,-6,down,0.75,13.333333,0.8211711760467308,0.236875
2026-04-25,1777154400,-6,up,0.87,11.494253,1.0,0.12208299
2026-04-26,1777168800,-6,up,0.67,14.925373,1.0,0.31452298
2026-04-28,1777352400,-6,up,0.34,29.411764,0.43115233455064333,-0.355708
2026-04-28,1777374000,-6,down,0.48000002,6.0,1.0,0.50252795
2026-04-29,1777500000,-6,down,0.83,5.66,0.9649299543115175,0.16012302
2026-04-30,1777510800,-6,down,0.8,12.5,0.9677098262353332,0.18879999
2026-04-30,1777546800,-6,up,0.68,9.12,0.9999999999954148,0.304768
