date,wts,t_rel,side,px,shares,pnl_share
2026-01-04,1767553200,2,down,0.49000000953674316,244.69000244140625,0.4925069904499054
2026-01-04,1767564000,2,down,0.5200000107288361,59.560001373291016,0.4625279893012047
2026-01-04,1767567600,2,up,0.8299999833106995,470.0,0.16012301591825487
2026-01-05,1767628800,2,down,0.8900000005960464,324.0299987792969,0.10314699943649769
2026-01-05,1767632400,2,up,0.800000011920929,79.38999938964844,0.18879998857975006
2026-01-05,1767636000,2,up,0.8899999856948853,424.0,0.10314701352405549
2026-01-05,1767643200,2,down,0.7400000095367432,42.599998474121094,0.24653199078369142
2026-01-06,1767718800,2,down,0.7299999892711639,113.45999908447266,0.25620301038336757
2026-01-06,1767729600,2,up,0.5099999904632568,383.3999938964844,0.47250700952339175
2026-01-06,1767736800,2,up,0.5,40.0,0.4825
2026-01-06,1767740400,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-07,1767801600,2,down,0.42000001668930054,121.0,0.5629479831237794
2026-01-07,1767805200,2,down,0.4700000286102295,11.0,0.5125629712696076
2026-01-07,1767808800,2,down,0.30000001192092896,129.0,0.685299987745285
2026-01-07,1767812400,2,up,0.5299999713897705,131.0,0.4525630284900666
2026-01-07,1767816000,2,down,0.6599999964237213,107.0,0.32429200349617004
2026-01-07,1767819600,2,up,0.8799999952316284,142.83999633789062,0.11260800451469422
2026-01-08,1767888000,2,up,0.3199999928474426,37.84000015258789,0.6647680073328018
2026-01-08,1767898800,2,down,0.9600000008940697,500.0,0.037311999163508414
2026-01-08,1767902400,2,down,0.6399999856948853,54.0,0.3438720140247345
2026-01-08,1767906000,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-08,1767913200,2,down,0.5,91.48999786376953,0.4825
2026-01-09,1767978000,2,down,0.7999999970197678,459.6099853515625,0.1888000028550625
2026-01-09,1767985200,2,down,0.5099999904632568,500.0,0.47250700952339175
2026-01-09,1767988800,2,down,0.42000001668930054,259.0,0.5629479831237794
2026-01-09,1767992400,2,up,0.8299999833106995,114.12999725341797,0.16012301591825487
2026-01-09,1767999600,2,up,0.7699999809265137,407.0,0.21760301835250856
2026-01-10,1768060800,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-10,1768071600,2,up,0.5099999904632568,215.10000610351562,0.47250700952339175
2026-01-10,1768075200,2,down,0.5200000107288361,56.4900016784668,0.4625279893012047
2026-01-11,1768150800,2,down,0.5099999904632568,130.1999969482422,0.47250700952339175
2026-01-11,1768154400,2,down,0.5099999904632568,113.25,0.47250700952339175
2026-01-11,1768161600,2,up,0.5099999904632568,185.6699981689453,0.47250700952339175
2026-01-11,1768168800,2,down,0.9099999964237213,60.27000045776367,0.08426700337100029
2026-01-11,1768172400,2,up,0.5400000214576721,145.6699981689453,0.44261197866249086
2026-01-12,1768186800,2,down,0.9099999964237213,179.80999755859375,0.08426700337100029
2026-01-12,1768194000,2,down,0.5800000131130219,3.2699999809265137,0.402947987033844
