date,wts,t_rel,side,px,shares,pnl_share
2025-12-17,1765959300,2,down,0.5099999904632568,500.0,0.47250700952339175
2025-12-18,1766097900,2,down,0.5099999904632568,500.0,0.47250700952339175
2025-12-18,1766099700,2,down,0.5,164.74000549316406,0.4825
2025-12-18,1766101500,2,up,0.33000001311302185,471.3800048828125,0.6545229865748883
2025-12-19,1766185200,2,down,0.699999988079071,18.56999969482422,0.28530001158714297
2025-12-19,1766186100,2,up,0.49000000953674316,215.0,0.4925069904499054
2025-12-21,1766301300,3,down,0.1499999761581421,76.16999816894531,0.841075025010109
2025-12-21,1766301300,6,down,0.1499999761581421,60.0099983215332,0.841075025010109
2025-12-21,1766356200,2,up,0.49000000953674316,500.0,0.4925069904499054
2025-12-21,1766357100,2,up,0.5,500.0,0.4825
2025-12-21,1766358000,2,up,0.8399999737739563,500.0,0.15059202497768406
2025-12-21,1766359800,2,up,0.47999998927116394,10.0,0.5025280107588768
2025-12-22,1766444400,2,down,0.5,30.0,0.4825
2025-12-22,1766447100,2,up,0.5,500.0,0.4825
2025-12-23,1766528100,2,down,0.5,500.0,0.4825
2025-12-24,1766617200,2,down,0.5399999916553497,329.05999755859375,0.44261200829792025
2025-12-24,1766618100,2,down,0.7299999892711639,30.6299991607666,0.25620301038336757
2025-12-24,1766619900,2,up,0.5199999809265137,168.89999389648438,0.4625280190200806
2025-12-25,1766702700,2,down,0.49000000953674316,453.5899963378906,0.4925069904499054
2025-12-25,1766703600,2,up,0.550000011920929,319.0799865722656,0.43267498816251754
2025-12-25,1766704500,2,down,0.4700000286102295,500.0,0.5125629712696076
2025-12-25,1766705400,2,down,0.5,500.0,0.4825
2025-12-26,1766789100,2,up,0.699999988079071,106.45999908447266,0.28530001158714297
2025-12-26,1766790000,2,down,0.48000001907348633,500.0,0.5025279808731079
2025-12-26,1766790900,2,down,0.5099999904632568,327.1199951171875,0.47250700952339175
2025-12-26,1766792700,2,up,0.5400000214576721,76.27999877929688,0.44261197866249086
2025-12-27,1766797200,2,down,0.9700000006705523,28.889999389648438,0.027962999373570083
2025-12-27,1766808000,2,down,0.8400000035762787,5.0,0.15059199659395217
2025-12-27,1766809800,2,up,0.9700000286102295,500.0,0.027962973272323666
2025-12-27,1766873700,2,down,0.5300000011920929,500.0,0.4525629988129139
2025-12-27,1766879100,2,up,0.46000000834465027,500.0,0.5226119916086197
2025-12-28,1766961000,2,up,0.5,500.0,0.4825
2025-12-28,1766961900,2,up,0.49000000953674316,214.0,0.4925069904499054
2025-12-29,1767028500,2,down,0.5099999904632568,50.7599983215332,0.47250700952339175
2025-12-29,1767042000,2,up,0.6299999952316284,13.0,0.3536830046815872
2025-12-29,1767042900,2,down,0.9299999997019768,98.0,0.06544300028008222
2025-12-29,1767045600,2,down,0.5,500.0,0.4825
2025-12-30,1767123900,2,down,0.5099999904632568,5.0,0.47250700952339175
2025-12-30,1767127500,2,down,0.4599999785423279,500.0,0.5226120215778352
2025-12-30,1767129300,2,up,0.7900000214576721,43.72999954223633,0.1983869794135094
2025-12-30,1767132000,2,up,0.9599999785423279,51.310001373291016,0.037312020075798064
2025-12-30,1767138300,2,down,0.9700000006705523,500.0,0.027962999373570083
2025-12-31,1767203100,2,down,0.25999999046325684,16.0,-0.27346799014282225
2025-12-31,1767214800,2,up,0.8500000238418579,500.0,0.14107497732639318
2025-12-31,1767218400,2,up,0.49000000953674316,200.0,0.4925069904499054
2025-12-31,1767219300,2,up,0.8500000238418579,500.0,0.14107497732639318
2025-12-31,1767220200,2,down,0.9099999964237213,80.4800033569336,0.08426700337100029
2025-12-31,1767222900,2,down,0.9400000013411045,32.0,0.05605199874150753
2026-01-01,1767291300,2,down,0.49000000953674316,20.0,0.4925069904499054
2026-01-01,1767296700,2,up,0.7699999809265137,13.0,0.21760301835250856
2026-01-01,1767297600,2,down,0.5200000107288361,131.49000549316406,0.4625279893012047
2026-01-01,1767298500,2,up,0.5199999809265137,41.7400016784668,0.4625280190200806
2026-01-01,1767302100,2,down,0.5300000011920929,500.0,0.4525629988129139
2026-01-01,1767303000,2,down,0.5099999904632568,146.47999572753906,0.47250700952339175
2026-01-01,1767303900,2,up,0.47999998927116394,500.0,0.5025280107588768
2026-01-01,1767305700,2,up,0.25,28.0,0.736875
2026-01-01,1767306600,2,up,0.6899999976158142,255.80999755859375,0.29502700232076645
2026-01-01,1767308400,2,down,0.8299999982118607,91.0,0.16012300170552732
2026-01-02,1767375000,2,down,0.8400000035762787,500.0,0.15059199659395217
2026-01-02,1767380400,2,up,0.699999988079071,24.280000686645508,0.28530001158714297
2026-01-02,1767381300,2,down,0.6100000143051147,60.540000915527344,0.37334698591518406
2026-01-02,1767382200,2,up,0.8199999928474426,14.989999771118164,0.1696680068321228
2026-01-02,1767383100,2,down,0.8100000023841858,374.0,0.17922699771928788
2026-01-02,1767384000,2,up,0.20000000298023224,120.0,0.788799996894598
2026-01-02,1767385800,2,up,0.6100000143051147,5.800000190734863,0.37334698591518406
2026-01-02,1767390300,2,up,0.949999988079071,103.97000122070312,0.04667501116991044
2026-01-02,1767393000,2,up,0.7300000190734863,126.48999786376953,0.25620298154067994
2026-01-02,1767397500,2,up,0.5199999809265137,500.0,0.4625280190200806
2026-01-03,1767469500,2,down,0.6800000071525574,155.0,0.3047679930276871
2026-01-03,1767474000,2,down,0.5300000011920929,500.0,0.4525629988129139
2026-01-03,1767479400,2,up,0.27000001072883606,32.790000915527344,-0.28379701107430455
2026-01-03,1767480300,2,down,0.9200000017881393,11.989999771118164,0.07484799831700326
2026-01-04,1767550500,2,down,0.9700000006705523,500.0,0.027962999373570083
2026-01-04,1767551400,2,up,0.6899999976158142,401.67999267578125,0.29502700232076645
2026-01-04,1767556800,2,up,0.5,500.0,0.4825
2026-01-04,1767557700,2,up,0.5,500.0,0.4825
2026-01-04,1767559500,2,up,0.5,500.0,0.4825
2026-01-04,1767568500,2,up,0.8600000143051147,225.22000122070312,0.13157198641586304
2026-01-04,1767569400,2,down,0.9400000013411045,262.0,0.05605199874150753
2026-01-05,1767636000,2,down,0.9200000017881393,13.0,0.07484799831700326
2026-01-05,1767638700,2,up,0.5099999904632568,80.0,0.47250700952339175
2026-01-05,1767640500,2,up,0.36000001430511475,5.0,0.6238719854145051
2026-01-05,1767641400,2,down,0.3700000047683716,29.68000030517578,0.613682995144844
2026-01-05,1767642300,2,up,0.3700000047683716,42.45000076293945,0.613682995144844
2026-01-05,1767643200,2,up,0.4699999988079071,42.0,0.5125630011970996
2026-01-05,1767644100,2,up,0.7599999904632568,18.0,0.2272320091896057
2026-01-05,1767645900,2,down,0.8999999985098839,401.3599853515625,0.09370000140666962
2026-01-05,1767647700,2,down,0.8999999985098839,20.0,0.09370000140666962
2026-01-05,1767648600,2,up,0.8500000238418579,500.0,0.14107497732639318
2026-01-06,1767723300,2,up,0.6600000262260437,500.0,0.3242919743614197
2026-01-06,1767724200,2,down,0.75,195.6300048828125,0.236875
2026-01-06,1767725100,2,up,0.9399999976158142,400.0,0.056052002237319945
2026-01-06,1767726000,2,up,0.8700000047683716,112.0199966430664,0.12208299547863007
2026-01-06,1767726900,2,up,0.6800000071525574,292.20001220703125,0.3047679930276871
2026-01-06,1767728700,2,down,0.8100000023841858,171.07000732421875,0.17922699771928788
2026-01-06,1767733200,2,up,0.7599999904632568,500.0,0.2272320091896057
2026-01-06,1767735000,2,up,0.4099999964237213,1.090000033378601,0.5730670036213398
2026-01-06,1767736800,2,down,0.5999999940395355,170.7899932861328,0.38320000587701797
2026-01-06,1767737700,2,up,0.5099999904632568,145.25,0.47250700952339175
2026-01-06,1767738600,2,down,0.5099999904632568,6.070000171661377,0.47250700952339175
2026-01-06,1767739500,2,up,0.8899999856948853,500.0,0.10314701352405549
2026-01-06,1767741300,2,up,0.7300000190734863,123.9800033569336,0.25620298154067994
2026-01-07,1767788100,2,up,0.8799999952316284,472.0400085449219,0.11260800451469422
2026-01-07,1767788100,5,up,0.8799999952316284,27.959991455078125,0.11260800451469422
2026-01-07,1767810600,2,down,0.8100000023841858,397.0199890136719,0.17922699771928788
2026-01-07,1767812400,2,down,0.8700000047683716,18.8799991607666,0.12208299547863007
2026-01-07,1767813300,2,up,0.5799999833106995,277.17999267578125,0.4029480165023804
2026-01-07,1767816900,2,down,0.9600000008940697,214.47999572753906,0.037311999163508414
2026-01-07,1767818700,2,up,0.5699999928474426,173.22999572753906,0.4128430070824623
2026-01-07,1767822300,2,down,0.5300000011920929,178.80999755859375,0.4525629988129139
2026-01-08,1767896100,2,up,0.8600000143051147,500.0,0.13157198641586304
2026-01-08,1767897900,2,up,0.9300000071525574,500.0,0.06544299327802658
2026-01-08,1767903300,2,down,0.7800000011920929,500.0,0.20798799885463715
2026-01-08,1767904200,2,up,0.5199999809265137,500.0,0.4625280190200806
2026-01-08,1767906900,2,down,0.6800000071525574,231.0,0.3047679930276871
2026-01-08,1767908700,2,up,0.8799999952316284,5.0,0.11260800451469422
