date,wts,t_rel,side,px,shares,fair,pnl_share
2026-01-06,1767735000,-6,up,0.41,1.09,0.9999999999999998,0.573067
2026-01-06,1767736800,-6,down,0.6,16.666666,1.0,0.3832
2026-01-06,1767737700,-6,up,0.51,19.607843,0.9999716899273697,0.472507
2026-01-06,1767738600,-6,down,0.51,6.07,1.0,0.472507
2026-01-06,1767739500,-6,up,0.89,11.235955,1.0,0.103147015
2026-01-06,1767741300,-6,up,0.73,13.698629,1.0,0.256203
2026-01-07,1767788100,-6,up,0.88,11.363636,1.0,0.112608
2026-01-07,1767805200,-6,down,0.48000002,12.4,0.5776400756228015,-0.49747202
2026-01-07,1767810600,-6,down,0.81,12.345679,1.0,0.179227
2026-01-07,1767812400,-6,down,0.87,11.494253,0.9999999992620747,0.12208299
2026-01-07,1767813300,-6,up,0.58,17.24138,1.0,0.40294802
2026-01-07,1767818700,-6,up,0.57,17.54386,0.9995486790441278,0.41284302
2026-01-08,1767837600,-6,down,0.35000002,28.571426,0.617536697410648,-0.365925
2026-01-08,1767844800,-6,up,0.32,31.25,0.4678322195982478,-0.335232
2026-01-08,1767876300,-6,down,0.94,10.638298,0.9999553423926156,0.056052003
2026-01-08,1767877200,-6,down,0.75,9.27,0.9993137440615157,-0.763125
2026-01-08,1767896100,-6,up,0.86,11.627907,1.0,0.131572
2026-01-08,1767897900,-6,up,0.93,10.752688,1.0,0.065442994
2026-01-08,1767903300,-6,down,0.78,12.820514,1.0,0.20798802
2026-01-08,1767904200,-6,up,0.52,19.23077,1.0,0.46252802
2026-01-08,1767906900,-6,down,0.68,14.705882,0.999985838319151,0.304768
2026-01-08,1767908700,-2,up,0.88,5.0,0.9556638394971968,0.112608
2026-01-08,1767911400,-6,down,0.86,11.627907,1.0,0.131572
2026-01-08,1767912300,-6,up,0.79,12.658228,0.9999999997538215,0.19838698
2026-01-08,1767914100,-6,up,0.51,19.607843,0.9999940352811808,0.472507
2026-01-08,1767915900,-6,down,0.32,31.25,0.9982863849898261,0.664768
2026-01-09,1767981600,-6,down,0.66999996,14.925374,1.0,0.31452304
2026-01-09,1767983400,-6,up,0.82,12.195122,1.0,0.169668
2026-01-09,1767987000,-6,up,0.82,5.9,0.9495118427599708,0.169668
2026-01-09,1767988800,-6,up,0.55,18.181818,1.0,0.432675
2026-01-09,1767991500,-6,up,0.71,5.0,0.9999647108440904,0.27558702
2026-01-09,1767993300,-6,up,0.91,10.989011,1.0,0.084266976
2026-01-09,1767997800,-6,down,0.58000004,17.241379,1.0,0.40294796
2026-01-09,1767998700,-6,up,0.47,21.276596,1.0,0.512563
2026-01-10,1768005000,-3,down,0.93,10.752688,0.9999999999999873,0.065442994
2026-01-10,1768018500,-6,down,0.39,20.0,1.0,0.593347
2026-01-10,1768023900,-6,down,0.90999997,10.989012,0.9999999958407271,-0.915733
2026-01-10,1768044600,-4,down,0.89,11.235955,0.9928945354356109,0.103147015
2026-01-10,1768069800,-6,up,0.52,19.23077,1.0,0.46252802
2026-01-10,1768072500,-6,up,0.5,20.0,1.0,0.4825
2026-01-10,1768074300,-6,down,0.65,15.384616,1.0,0.33407503
2026-01-10,1768081500,-6,down,0.45999998,21.739132,1.0,0.52261204
2026-01-10,1768083300,-6,up,0.56,17.857143,1.0,0.422752
2026-01-10,1768086900,-6,up,0.51,19.607843,1.0,0.472507
2026-01-11,1768099500,-6,up,0.79,12.658228,1.0,0.19838698
2026-01-11,1768113000,-6,down,0.9,11.111112,1.0,0.09370002
2026-01-11,1768120200,-6,down,0.39999998,25.000002,1.0,0.58320004
2026-01-11,1768131900,-3,up,0.57,17.54386,0.9999591540807787,0.41284302
2026-01-11,1768151700,-6,down,0.93,10.752688,1.0,0.065442994
2026-01-11,1768159800,-6,down,0.51,19.607843,1.0,0.472507
2026-01-11,1768160700,-6,down,0.51,19.607843,1.0,0.472507
2026-01-11,1768162500,-6,down,0.93,10.752688,0.9999999999999996,0.065442994
2026-01-11,1768171500,-6,down,0.51,19.607843,1.0,0.472507
2026-01-11,1768172400,-6,up,0.51,19.607843,1.0,0.472507
2026-01-11,1768173300,-6,up,0.81,12.345679,0.9999999402247529,0.179227
2026-01-11,1768174200,-6,up,0.86,11.627907,1.0,0.131572
2026-01-11,1768175100,-6,up,0.71,14.084508,1.0,0.27558702
2026-01-12,1768193100,-6,down,0.35000002,28.571426,1.0,0.634075
2026-01-12,1768199400,-6,down,0.5,20.0,1.0,0.4825
2026-01-12,1768202100,-6,up,0.67,14.925373,1.0,0.31452298
2026-01-12,1768204800,-6,up,0.94,10.638298,1.0,0.056052003
2026-01-12,1768205700,-6,down,0.93,10.752688,1.0,0.065442994
2026-01-12,1768207500,-6,up,0.67,14.925373,1.0,0.31452298
2026-01-12,1768208400,-6,up,0.73,5.0,1.0,0.256203
2026-01-12,1768210200,-6,up,0.71,14.084508,0.9974602677371814,0.27558702
2026-01-12,1768212000,-6,down,0.35000002,28.571426,0.9133345070538275,0.634075
2026-01-12,1768212900,-6,down,0.5,20.0,1.0,0.4825
2026-01-12,1768213800,-6,down,0.77,12.987013,0.9999268047018542,0.21760301
2026-01-12,1768215600,-6,up,0.55,18.181818,1.0,0.432675
2026-01-12,1768250700,-6,up,0.45,22.222223,0.9647742419360643,0.532675
2026-01-12,1768252500,-6,down,0.88,11.363636,1.0,0.112608
2026-01-13,1768266000,-6,down,0.69,14.492754,0.8484259983748934,0.295027
2026-01-13,1768284000,-4,up,0.47,9.7,0.5845615837656704,0.512563
2026-01-13,1768290300,-5,up,0.94,10.638298,0.9999999999861938,0.056052003
2026-01-13,1768324500,-6,up,0.43,23.255814,1.0,0.552843
2026-01-13,1768325400,-5,down,0.90999997,10.989012,0.9745470411328013,0.084267035
2026-01-13,1768326300,-6,down,0.6,2.61,0.999999999999999,0.3832
2026-01-13,1768327200,-6,up,0.94,10.638298,1.0,0.056052003
2026-01-13,1768329000,-6,up,0.41,14.0,0.9999970552653346,0.573067
2026-01-13,1768332600,-6,up,0.9,11.111112,1.0,0.09370002
2026-01-13,1768334400,-6,up,0.84,11.904762,1.0,0.15059203
2026-01-13,1768335300,-6,up,0.46,21.73913,0.8550239570913264,-0.477388
